Date, AirTemperature
2015-08-17,73.36250003
2015-08-18,65.96000028
2015-08-19,65.16125011
2015-08-20,65.74249991
2015-08-21,64.86125008
2015-08-22,65.58499972
2015-08-23,67.40749987
2015-08-24,67.31750051
2015-08-25,66.72874999
2015-08-26,69.89749996
2015-08-27,74.87374989
2015-08-28,75.70249963
2015-08-29,72.32749947
2015-08-30,68.90750011
2015-08-31,69.54499992
2015-09-01,69.79132517
2015-09-02,65.02624997
2015-09-03,63.75125019
2015-09-04,62.39375003
2015-09-05,63.9799997
2015-09-06,66.51875051
2015-09-07,70.28375014
2015-09-08,68.72580657
2015-09-09,76.4712499
2015-09-10,77.36375014
2015-09-11,73.60625005
2015-09-12,67.0399998
2015-09-13,70.28000061
2015-09-14,62.95250003
2015-09-15,64.46749989
2015-09-16,57.58625015
2015-09-17,64.32500013
2015-09-18,65.60750008
2015-09-19,69.95000037
2015-09-20,73.79750013
2015-09-21,73.60249972
2015-09-22,63.6649998
2015-09-23,63.56374923
2015-09-24,71.05625049
2015-09-25,69.12499968
2015-09-26,67.52749983
2015-09-27,64.81250032
2015-09-28,61.05499991
2015-09-29,59.42374961
2015-09-30,59.30749981
2015-10-01,65.01874987
2015-10-02,65.42375024
2015-10-03,60.16625031
2015-10-04,67.25000008
2015-10-05,62.27374999
2015-10-06,62.81749972
2015-10-07,63.9350001
2015-10-08,68.70500024
2015-10-09,65.37124999
2015-10-10,64.27625004
2015-10-11,64.97374996
2015-10-12,67.84249965
2015-10-13,70.62125039
2015-10-14,68.02625036
2015-10-15,66.91624999
2015-10-16,64.92874996
2015-10-17,61.04750021
2015-10-18,59.87749998
2015-10-19,59.68999998
2015-10-20,63.45499953
2015-10-21,64.11125008
2015-10-22,61.3174998
2015-10-23,59.74625023
2015-10-24,59.55875007
2015-10-25,59.89624945
2015-10-26,58.51624974
2015-10-27,59.41625031
2015-10-28,60.61999989
2015-10-29,61.49000033
2015-10-30,65.8925004
2015-10-31,60.88625018
2015-11-01,60.26360001
2015-11-02,53.59999998
2015-11-03,49.64374948
2015-11-04,52.79000036
2015-11-05,47.88125006
2015-11-06,49.36625004
2015-11-07,50.19874962
2015-11-08,48.1512502
2015-11-09,46.15249999
2015-11-10,47.27375038
2015-11-11,45.26375
2015-11-12,46.94749967
2015-11-13,47.89625017
2015-11-14,48.49999992
2015-11-15,52.10749976
2015-11-16,47.2549998
2015-11-17,47.9712499
2015-11-18,50.70874961
2015-11-19,52.53125008
2015-11-20,54.56750003
2015-11-21,51.56749988
2015-11-22,50.11249971
2015-11-23,47.95624987
2015-11-24,47.04875
2015-11-25,40.34749997
2015-11-26,45.27499998
2015-11-27,49.9174997
2015-11-28,44.77250004
2015-11-29,38.68250008
2015-11-30,41.64499994
2015-12-01,42.23000002
2015-12-02,49.295
2015-12-03,47.03749967
2015-12-04,47.85500002
2015-12-05,44.94125009
2015-12-06,52.07000009
2015-12-07,55.28375014
2015-12-08,51.73172431
2015-12-09,55.71026295
2015-12-10,56.10499994
2015-12-11,47.15375002
2015-12-12,45.71375012
2015-12-13,49.63250001
2015-12-14,41.8325001
2015-12-15,48.17374992
2015-12-16,41.43125002
2015-12-17,45.20750014
2015-12-18,51.24125036
2015-12-19,47.93750008
2015-12-20,41.46500023
2015-12-21,52.38124983
2015-12-22,57.66875013
2015-12-23,45.09124994
2015-12-24,42.59749985
2015-12-25,38.28499977
2015-12-26,45.12875005
2015-12-27,36.45124996
2015-12-28,40.60625001
2015-12-29,39.06125005
2015-12-30,37.04375001
2015-12-31,38.40500001
2016-01-01,42.72499998
2016-01-02,45.47750028
2016-01-03,48.6612498
2016-01-04,48.95375013
2016-01-05,49.91375017
2016-01-06,47.66374977
2016-01-07,46.28749998
2016-01-08,43.89875023
2016-01-09,47.73125005
2016-01-10,50.16874981
